date,description,keywords,title,url
2019-06-01,"Failure to tip, a refusal to chat … even where you sit could influence how drivers rate you and under a new policy could see you banned","Uber,Technology,Uber,Technology",Uber to ban riders with low ratings: will you pass the test? | Technology | The Guardian,http://www.theguardian.com/technology/2019/may/31/uber-to-ban-riders-with-low-ratings
2019-05-01,Parliamentary committee grills company representatives over violent and misogynistic abuse,"Twitter,Facebook,Technology,Media,Internet,Social networking,Women in politics,Women,Politics,UK news,Twitter,Facebook,Technology,Media,Internet,Social networking,Women in politics,Women,Politics,UK news",Twitter and Facebook told they must do more to protect female MPs | Technology | The Guardian,http://www.theguardian.com/uk-news/2019/may/01/twitter-and-facebook-told-they-must-do-more-to-protect-female-mps
2019-06-01,Helping the critically endangered mammal is vital because it’s the last survivor on its branch of the evolutionary tree,"Conservation,Wildlife,Environment,UK news,Conservation,Wildlife,Environment,UK news","Save the polar bears, of course … but it’s the solenodons we really need to worry about | Environment | The Guardian",http://www.theguardian.com/environment/2019/jun/01/save-the-solendrons-endangered-species
2019-07-01,Three smashing puzzles,"Mathematics,Science,Mathematics,Education,Tennis,Mathematics,Science,Mathematics,Education,Tennis",Can you solve it? Ace these tennis teasers | Science | The Guardian,http://www.theguardian.com/science/2019/jul/01/can-you-solve-it-ace-these-tennis-teasers
2019-07-01,Reports released after FoI request criticise Prof David Latchman’s ‘recklessness’,"Science,Research,UCL (University College London),Higher education,Education,UK news,Science,Research,UCL (University College London),Higher education,Education,UK news",Research misconduct claim upheld against former head of UCL lab | Science | The Guardian,http://www.theguardian.com/science/2019/jul/01/research-misconduct-claim-upheld-against-former-head-of-ucl-lab
2019-07-01,Scientists searching the universe for aliens to conduct survey of the public for views on first contact,"Alien life,Astronomy,Science,Space,Alien life,Astronomy,Science,Space",How should we respond to alien contact? Scientists ask the public | Science | The Guardian,http://www.theguardian.com/science/2019/jul/01/do-you-think-that-there-is-alien-life-beyond-earth-first-contact
2019-07-01,"From borrowing clothes to switching search engines, there are ways to boost your environmental credentials throughout the day","Ethical and green living,Environment,Green economy,Energy efficiency,Energy bills,Energy,Sustainable development,Green travel,Travel,Greenhouse gas emissions,Climate change,Ethical and green living,Environment,Green economy,Energy efficiency,Energy bills,Energy,Sustainable development,Green travel,Travel,Greenhouse gas emissions",Feed your dog insects and microwave your dinner: a 24-hour guide to going green | Environment | The Guardian,http://www.theguardian.com/environment/2019/jul/01/green-your-routine-hour-by-hour-guide-making-climate-difference
2019-07-01,"The findings are ‘worrying’, researchers say, and are likely to be partly because of warming ocean temperatures","Marine life,Conservation,Climate change,Birds,Animals,Wildlife,Australia news,Marine life,Conservation,Climate change,Birds,Animals,Wildlife,Australia news","More than a dozen seabird species in decline off south-east Australia, study finds | Environment | The Guardian",http://www.theguardian.com/environment/2019/jul/01/more-than-a-dozen-seabird-species-in-decline-off-south-east-australia-study-finds
2019-07-01,The answers to today’s puzzles,"Mathematics,Mathematics,Education,Science,Tennis,Mathematics,Mathematics,Education,Science,Tennis",Did you solve it? Ace these tennis teasers | Science | The Guardian,http://www.theguardian.com/science/2019/jul/01/did-you-solve-it-ace-these-tennis-teasers
2019-07-01,The Los Angeles Angels have confirmed pitcher Tyler Skaggs died before Monday’s game against the Texas Rangers. He was 27,"Los Angeles Angels,MLB,Baseball,US sports,Sport,Los Angeles Angels,MLB,Baseball,US sports,Sport",Los Angeles Angels pitcher Tyler Skaggs dies aged 27 | Sport | The Guardian,http://www.theguardian.com/sport/2019/jul/01/tyler-skaggs-dies-los-angeles-angels-baseball-mlb
2019-07-01,England will enter the Women’s Ashes hungry for a win after a victory drought over their Australian counterparts for the past four years,"Women's Ashes,Australia women's cricket team,England women's cricket team,Cricket,Women's cricket,Australia sport,Sport,Women's Ashes,Australia women's cricket team,England women's cricket team,Cricket,Women's cricket,Australia sport,Sport",Familiar foes Australia and England prepare to do battle for Women's Ashes | Sport | The Guardian,http://www.theguardian.com/sport/2019/jul/01/familiar-foes-australia-and-england-prepare-to-do-battle-for-womens-ashes
2019-06-01,"The game is fortunate to have had a man of Goodes’ stature represent it – undeservingly so, given events of 2015","Adam Goodes,AFL,Sydney Swans,Australian rules football,Australia sport,Sport,Adam Goodes,AFL,Sydney Swans,Australian rules football,Australia sport,Sport",Adam Goodes film offers AFL – and us all – a chance for reflection | Craig Little | Sport | The Guardian,http://www.theguardian.com/sport/2019/jun/02/adam-goodes-film-offers-afl-and-us-all-a-chance-for-reflection
2019-06-01,"Earn three more points than Fiji in Paris and Mike Friday, Perry Baker and the rest of the Eagles will be in sevens heaven","Rugby sevens,Rugby union,Sport,USA rugby union team,US sports,Rugby sevens,Rugby union,Sport,USA rugby union team,US sports","USA men could be rugby world champions this weekend – no, really | Sport | The Guardian",http://www.theguardian.com/sport/blog/2019/jun/01/usa-rugby-sevens-men-world-champions-paris-hsbc-series
2019-06-01,The win over South Africa could not have gone much better for England – and that catch galvanised an unexpected amount of interest in the Cricket World Cup,"England cricket team,Ben Stokes,Cricket World Cup 2019,South Africa cricket team,Pakistan cricket team,West Indies cricket team,Cricket,Sport,England cricket team,Ben Stokes,Cricket World Cup 2019,South Africa cricket team,Pakistan cricket team,West Indies cricket team,Cricket,Sport",Ben Stokes magic conjures higher hopes of England success | Vic Marks | Sport | The Guardian,http://www.theguardian.com/sport/blog/2019/jun/01/ben-stokes-magic-england-cricket-world-cup
2019-06-01,"Rolling report: Fremantle beat Collingwood, Giants trounce Gold Coast, Brumbies beat Sunwolves, Vixens beat Lightning. Join Pádraig Collins for updates","Australia sport,Super Rugby,Super Netball,AFL,Sport,Australia sport,Super Rugby,Super Netball,AFL,Sport","Sportwatch: wins for Fremantle, GWS, Brumbies and Vixens – as it happened | Sport | The Guardian",http://www.theguardian.com/sport/live/2019/jun/01/sportwatch-magpies-v-dockers-giants-v-suns-super-netball-and-more-live
