date,description,title,url
2019-07-28,"Cabinet blitzes media, saying how preparations for crashing out are top priority","Boris Johnson 'turbo-charging' no-deal Brexit plans, say ministers | Politics | The Guardian",http://www.theguardian.com/politics/2019/jul/28/boris-johnson-turbo-charging-no-deal-brexit-plans-say-ministers
2019-07-28,Ethnic minority cabinet members demonstrate to young people there is nothing holding them back,My new role shows how we Tories have championed diversity | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/27/diversity-cabinet-shows-tories-party-of-opportunity
2019-07-28,"The city seems divided along generational lines, with the young proving resistant to the new prime minister’s message",‘People love him or hate him’ – Johnson provokes extreme reactions in Leeds | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/27/boris-johnson-leeds-north-england-people-love-or-hate
2019-07-28,Scottish Conservative leader challenges Boris Johnson as he prepares to travel north,"I won't support no-deal Brexit, says defiant Ruth Davidson | Politics | The Guardian",http://www.theguardian.com/politics/2019/jul/28/support-no-deal-brexit-scottish-ruth-davidson-boris-johnson
2019-07-28,Most new leaders take office with healing words. But the first act of this prime minister was a ‘midsummer massacre’,Johnson plots a high-risk Brexit with war on the doubters | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/28/boris-johnson-plots-high-risk-brexit-with-war-on-doubters
2019-07-28,Plans for an early vote are strongly denied but yesterday’s visit to Manchester was eerily reminiscent of May’s 2017 election launch,A prime minister in campaigning mode: hi-vis Johnson heads north | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/27/boris-johnson-campaigning-mode-in-manchester
2019-07-28,"The Downing Street ideas man relishes challenges, but voices contempt for civil servants and their ministerial masters",Dominic Cummings: The feared T-shirt technocrat who scorns the political class | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/28/dominic-cummings-boris-johnson-dreams-of-world-without-democracy
2019-07-28,No-deal chief says ‘new clarity of mission’ means Brexit will happen on 31 October regardless of EU’s approach,"Brexit: government 'operating on assumption' of no deal, says Gove | Politics | The Guardian",http://www.theguardian.com/politics/2019/jul/28/michael-gove-government-operating-on-assumption-of-no-deal-brexit
2019-07-28,"Meanwhile, poll shows ‘Boris bounce’ with Tories in lead over Labour",Hammond plots with Labour to kill Johnson’s no-deal Brexit plan | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/27/hammond-plots-with-starmer-to-kill-no-deal-brexit
2019-07-28,"Amid the dismay north of the border, the pro-independence lobby knows a better recruiting sergeant would be hard to find",Why Scottish nationalists will be cheering on Boris Johnson | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/27/boris-johnson-brexit-scotland-independence
2019-07-28,"The Conservatives are riven with factions like never before, and all of them pose a risk to the prime minister",Which Tory tribe should Boris Johnson fear the most? | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/28/which-tory-tribe-boris-johnson-fear-the-most
