date,description,title,url
2019-07-28,"There might be just one race left in Enable’s career, following what seemed a significant hint from John Gosden that the great mare might not run again before the Prix de l’Arc de Triomphe in October","Enable may head straight for Arc and career finale, hints Gosden | Sport | The Guardian",http://www.theguardian.com/sport/2019/jul/28/enable-may-bypass-york-head-straight-for-prix-de-larc-de-triomphe-john-gosden-horse-racing
2019-07-28,Leg injury to lock Nick Civetta a blow but sellout crowd in Colorado sees Gary Gold’s Eagles perform with promise,USA blast past Canada in first Rugby World Cup warm-up | Sport | The Guardian,http://www.theguardian.com/sport/2019/jul/28/usa-canada-rugby-world-cup
2019-07-28,HBH report: Who will win the fourth women’s major of the year? Find out with Scott Murray.,Evian Championship golf: final round – live! | Sport | The Guardian,http://www.theguardian.com/sport/live/2019/jul/28/evian-championship-golf-final-round-live
2019-07-28,"CEO says it will not reflect badly on Mack Horton, who made a public stand against rival Sun Yang",Shayna Jack drug test: Swimming Australia defends two-week delay in revealing result | Sport | The Guardian,http://www.theguardian.com/sport/2019/jul/28/shayna-jack-drug-test-swimming-australia-defends-two-week-delay-in-revealing-result
2019-07-28,A nation must wait for a home successor to Bernard Hinault after their Tour de France hopes for Thibaut Pinot disappear in the Alpine mists,The Tour pain of Thibaut Pinot is felt by the whole of France | William Fotheringham | Sport | The Guardian,http://www.theguardian.com/sport/blog/2019/jul/28/thibaut-pinot-tour-de-france-exit
2019-07-28,"Michael Schumacher’s son, now in F2, will drive a lap in his father’s old car and it could be timely for the threatened circuit at Hockenheim",Mick Schumacher gives hope to German F1 with Hockenheim run | Sport | The Guardian,http://www.theguardian.com/sport/2019/jul/28/mick-schumacher-german-f1-hockenheim-michael-schumacher
2019-07-28,"With 21 stages of racing for 176 riders from 22 teams – over a distance of 3,480km – this year’s Tour comes to an end in Paris, so here are some of our favourite images from the last three weeks","Blood, rain and cheers: Tour de France 2019 – in pictures | Sport | The Guardian",http://www.theguardian.com/sport/2019/jul/28/blood-rain-and-cheers-tour-de-france-2019-in-pictures
2019-07-28,"James Pattinson, Australia’s feared right-armer, is fit again after undergoing back surgery and tells Ali Martin he will bring his abrasive style to this Ashes series",James Pattinson: ‘Every wicket is like a release ... I need that feeling’ | Sport | The Guardian,http://www.theguardian.com/sport/2019/jul/28/james-pattinson-australia-ashes
2019-07-28,"Rolling report: Relive an intense day of AFL, NRL and Super Netball action with Richard Gadsby","Sportwatch: Roosters beat Bulldogs, Vixens down Thunderbirds, Swans fall to Cats and more – as it happened | Sport | The Guardian",http://www.theguardian.com/sport/live/2019/jul/28/sportwatch-bulldogs-v-roosters-vixens-v-thunderbirds-sydney-v-geelong-and-more-live
2019-07-28,Novak Djokovic and England’s cricketers have all used ‘visualisation’ to help plot their way to victories,A little mental rehearsal is a huge help on sport’s biggest stages | Tim Lewis | Sport | The Guardian,http://www.theguardian.com/sport/blog/2019/jul/28/visualisation-in-sport
